No. 	     Name	Elo Rating
173	Rumman (GTT-G)	999
174	Rafayat	983
175	Eftekhar Alom	947
176	Aparesh Saha	926
177	Munaf	T 1284  **
178	Md. Bayezid	T 1225  **
179	Tushar (SRBD)	T 1179  **
180	Raquibul Bari	T 1179  *
181	Tasin	T 1165  *
182	Shaju	T 1145  **
183	Tonmoy Dey	T 1236  **
184	Asifur Rahman (MTTA)	T 1220  *
185	Safwan	T 1134  *
186	Bhramar	T 1124  **
187	Md. Akhtaruzzaman (AIS)	T 1089  *
188	Shaklayen Shaheed (Joy)	T 1087  *
189	Mehedi (KIB)	T 1083  *
190	Md. Imran Sheikh	T 1076  **
191	Mustafizur Rahman	T 1071  **
192	Abed Khan	T 1062  *
193	Mehedi_Galib	T 1047  **
194	Md. Rafiul Islam	T 1022  *
195	Sourav Majumder	T  1089  *
196	Abdullah Al Amin	T 1089  *
197	Nibir	T 1089  *
198	Halal Uddin	T 1089  **
199	Arshad Hossain (Inovi Solutions)	T 1071  *
200	Imran Murshed	T 960  *
201	Mazedul Islam (Tushar)	T  944 *
202	Imtiyaz (MTTA)	New
203	Ishrak	New
204	Rasel	New
205	 Shafiul	New
206	Arafat Rahman Alif (AIS)	New
207	Taimur (BTTC)	New
208	Pranjal	New
209	Sakib (MBSTU)	New
210	Mofakkharul	New
211	Zahid	New
212	Belal (MTTA)	New
213	Nihan	New
214	Rahat (MTTA)	New
215	Ishaan	New
216	Mithu	New
217	Aurio (BU)	New
218	Rezaul	New
219	Ruffee	New
220	Md Ibrahim (AIS)	New
221	Abu Nasar	New
222	Anis Babu	New
223	Faiaz Khan Soumik	New
224	Mehedi Hasan (bKash)	New
225	Mehedi Manon	New
226	Ruffee Md. Khan	New
227	Noman (ULAB)	New
228	Kaiful Islam Safin	New
229	Shimul	New
230	Shahriar (DU)	New
231	Farhan Irtaz Zarif	New
232	Hasib Raihan	New
233	Ushan Ghosh	New
234	Ashiq Ibn Aziz	New
235	Adiyat (BU)	New
236	Sartaj Hassan	New
237	Nazmus Sakib	New
238	Rafi	New
239	Md. Arif Haider	New
240	Moshiur Rahman Amit	New
241	Shaheb Ali	New
242	Nazmus Sayed	New
243	Muntasir (DU)	New
244	Arafat Ahsan	New
245	Dil (BTTC)	New
246	Raihan Mastafa Khiljee	New
247	Tanvir Ahmed Rifat	New
248	Sagar (Inovi Solutions)	New
249	Nazmul Islam	New
250	Zia	New
251	Helal Ahmed	New
252	Khondoker Rumman	New
